"Ensemle_ID"	"Ensemle_ID"	"ENTREZID"	"SYMBOL"	"GENENAME"	"ERR1084811_ER"	"ERR1084806_ER"	"ERR1084805_ER"	"ERR1084775_ER"	"ERR1084765_ER"	"ERR1084764_ER"	"ERR1084763_ER"	"ERR1084808_TN"	"ERR1084809_TN"	"ERR1084807_TN"	"ERR1084810_TN"	"ERR1084803_TN"	"ERR1084802_TN"	"ERR1084801_TN"	"ERR1084804_TN"	"ERR1084800_TN"	"ERR1084799_TN"	"ERR1084798_TN"	"ERR1084768_TN"	"ERR1084766_TN"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"11"	"ENSG00000004700"	"5965"	"RECQL"	"RecQ like helicase"	613	1186	1199	1101	684	659	606	651	2352	2022	882	344	1016	1346	758	1325	1110	797	1943	613	1225.34143006789	1.15645142372439	0.447768717469736	2.58269811758913	0.00980310593229695	0.0466109607118115
"12"	"ENSG00000004809"	"85413"	"SLC22A16"	"solute carrier family 22 member 16"	0	0	1	0	1	5	0	0	51	16	0	0	2	1	13	1	12	23	6	1	5.3543383128791	3.35844976515458	1.14436320177092	2.93477609202857	0.00333788455056798	0.020796165386034
"13"	"ENSG00000005022"	"292"	"SLC25A5"	"solute carrier family 25 member 5"	4532	5451	8927	4256	4367	4427	4209	7365	9232	5045	1306	11660	7590	6715	9640	11798	5989	13118	7402	3216	6734.07603008834	1.00136072020447	0.278868887594689	3.59079397074892	0.000329672164378103	0.00342157176697448
"14"	"ENSG00000005189"	"81691"	"REXO5"	"RNA exonuclease 5"	476	894	929	991	725	1219	1052	131	651	765	72	574	414	464	299	217	199	716	543	35	477.399977822476	-1.00948952326322	0.289572071439177	-3.48614256287232	0.000490039775018364	0.00470779237340902
"15"	"ENSG00000005302"	"10943"	"MSL3"	"MSL complex subunit 3"	384	358	1618	665	599	533	509	438	2776	1474	185	1313	482	1066	1706	808	1862	1701	2605	204	940.526693235391	1.18429680507975	0.33207314693348	3.56637330063	0.000361955680439208	0.00369377884470004
"16"	"ENSG00000005436"	"6936"	"GCFC2"	"GC-rich sequence DNA-binding factor 2"	453	955	778	665	574	658	648	654	1426	1502	448	1157	732	1230	729	686	668	733	1364	447	890.170979019844	1.0056303406362	0.337423897237894	2.98031748452957	0.00287949774507427	0.0186747248664844
"17"	"ENSG00000005486"	"57414"	"RHBDD2"	"rhomboid domain containing 2"	2997	7152	4637	4152	6629	7382	7203	2966	5096	3445	261	2505	1870	5005	3385	3148	2288	1579	2840	187	3125.68015586843	-0.960378085957318	0.271907222404106	-3.53200653320643	0.000412419166167016	0.00408942059397441
"18"	"ENSG00000005884"	"3675"	"ITGA3"	"integrin subunit alpha 3"	4723	2119	22199	2597	3537	4849	4468	29000	1595	7907	271	514	3373	638	903	960	3275	546	499	42	2681.6470593447	-1.70648297996598	0.580397568812973	-2.94019663703292	0.00328004015560534	0.0205213771853677
"19"	"ENSG00000005893"	"3920"	"LAMP2"	"lysosomal associated membrane protein 2"	2578	3037	4294	2630	2437	2587	2529	3159	4850	8255	572	2784	5500	2331	12361	5756	8834	2728	3855	266	3478.45004830359	0.862028959404987	0.317802140040434	2.71247059348093	0.00667837066265247	0.0351150014774231
"20"	"ENSG00000006016"	"9244"	"CRLF1"	"cytokine receptor like factor 1"	101	132	111	528	43	94	53	165	527	176	430	426	210	678	86	1297	150	444	226	1516	355.924478457987	2.04568093688746	0.631875273715362	3.23747584686938	0.00120592147180382	0.00953790785313594
"21"	"ENSG00000006071"	"6833"	"ABCC8"	"ATP binding cassette subfamily C member 8"	493	82	134	147	1796	1614	1387	0	21	3	0	19	4	0	1	16	3	2	1	83	254.919293752689	-3.96707598000877	1.23681218215989	-3.20750073231081	0.0013389371964995	0.0103802645603839
"22"	"ENSG00000006210"	"6376"	"CX3CL1"	"C-X3-C motif chemokine ligand 1"	107	13	10	1540	66	100	113	3	1839	2154	2024	2	5907	4299	2624	2655	2972	762	1085	31	1692.19362559939	3.56959477815189	0.991363140289935	3.60069346244599	0.00031736957681109	0.00331487530506749
"23"	"ENSG00000006459"	"80853"	"KDM7A"	"lysine demethylase 7A"	491	638	650	360	494	437	418	976	453	1660	148	582	199	1042	895	525	2680	952	2015	80	687.655545995622	1.08895458816658	0.369761552243278	2.9450184356921	0.00322935420247876	0.0203011200068098
"24"	"ENSG00000006530"	"55750"	"AGK"	"acylglycerol kinase"	1059	1537	1098	1275	1482	1241	1163	1027	2415	2635	1519	1941	952	1732	3464	775	2218	1493	2333	516	1780.4017874559	1.12226229680552	0.400746328274772	2.80043064059227	0.00510344734010588	0.0287659818158085
"25"	"ENSG00000006606"	"10344"	"CCL26"	"C-C motif chemokine ligand 26"	0	0	0	0	0	0	0	148	2	35	1	0	0	1	0	2	14	0	0	6	3.91781383984829	5.29379873565484	1.83359905999444	2.88710812039296	0.00388800599310254	0.0233688997434011
"26"	"ENSG00000006652"	"3475"	"IFRD1"	"interferon related developmental regulator 1"	567	1185	937	574	1239	562	641	518	1545	3404	181	1423	1437	1892	2746	1167	958	1911	2092	80	1051.24921380809	0.976232007631448	0.287842873203543	3.39154482710129	0.000694997931085464	0.00618517500460756
"27"	"ENSG00000007255"	"79090"	"TRAPPC6A"	"trafficking protein particle complex 6A"	871	2186	450	1215	1076	1052	961	242	525	278	197	392	292	521	198	1187	287	584	531	22	584.379647291849	-1.11060899281562	0.416111300899739	-2.66901905911759	0.0076073133370961	0.038636136113869
"28"	"ENSG00000007372"	"5080"	"PAX6"	"paired box 6"	23	62	30	708	22	37	30	149	675	280	57	21	396	46	14	1671	524	2949	66	133	363.027092508411	2.3726174370996	0.856774252676107	2.76924455851562	0.0056186443281132	0.0309060790254666
"29"	"ENSG00000007402"	"9254"	"CACNA2D2"	"calcium voltage-gated channel auxiliary subunit alpha2delta 2"	458	725	335	918	4049	7011	6321	299	109	357	243	1173	239	100	131	416	111	199	202	155	1051.76889938504	-2.5335683805058	0.67839377981141	-3.73465744513476	0.000187970866285906	0.00215413027306409
"30"	"ENSG00000007541"	"9091"	"PIGQ"	"phosphatidylinositol glycan anchor biosynthesis class Q"	4061	3994	4495	7786	4990	5334	4821	1473	2439	2111	143	4695	1597	1864	1910	2971	3177	1727	912	42	2480.01593013694	-1.26872303824338	0.35792602772074	-3.54465152009917	0.000393132473363176	0.00393387461995269
"31"	"ENSG00000007545"	"57585"	"CRAMP1"	"cramped chromatin regulator homolog 1"	1733	806	1020	1473	911	1071	952	432	836	1013	97	908	556	787	1363	793	593	929	616	100	731.483157053652	-0.526399589059236	0.189420992260581	-2.77899288129101	0.00545277200584677	0.0301907694291864
"32"	"ENSG00000008196"	"7021"	"TFAP2B"	"transcription factor AP-2 beta"	2	1	125	0	0	0	2	0	9	261	2	11635	1	0	0	3	115	2	0	0	14.2096960436578	4.54343363179902	1.49390982138019	3.04130381016	0.00235556019031505	0.0160257528174819
"33"	"ENSG00000008513"	"6482"	"ST3GAL1"	"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"	2597	5136	4937	7580	25456	24949	22497	90	893	3019	904	2290	7193	990	2388	5006	2626	2170	948	179	5187.46088508398	-2.20482202337583	0.603092842733642	-3.65585838058038	0.000256322839048474	0.00278598387887457
"34"	"ENSG00000008838"	"9862"	"MED24"	"mediator complex subunit 24"	5120	5013	3168	4224	4293	4245	3851	2069	3255	3541	681	2876	1366	3225	2821	3274	4145	3319	2714	294	2804.23814530123	-0.480100613719855	0.186174859091981	-2.57876179448407	0.00991551348084674	0.046950697156307
"35"	"ENSG00000009307"	"7812"	"CSDE1"	"cold shock domain containing E1"	6978	10550	13370	10637	10881	7489	7412	5159	19226	10809	3915	13489	11401	14083	35825	21731	14140	7836	18816	1481	11197.8549318679	0.797838665140354	0.292699517555797	2.72579426096342	0.00641469689702152	0.0341046534600007
"36"	"ENSG00000009780"	"199870"	"FAM76A"	"family with sequence similarity 76 member A"	302	484	332	403	285	176	215	201	383	1301	32	654	800	521	648	601	493	551	590	55	382.883251271351	0.871740055131675	0.285012651168964	3.05860126403611	0.00222372909784309	0.0153115628902942
"37"	"ENSG00000010017"	"10048"	"RANBP9"	"RAN binding protein 9"	2561	2309	3255	5004	5185	5561	5343	1103	2689	2008	572	2577	994	2806	2939	2233	3041	3894	2242	284	2470.83323712875	-0.707877956795475	0.247945192267013	-2.85497754694578	0.00430398716150524	0.0251909554306623
"38"	"ENSG00000010030"	"51513"	"ETV7"	"ETS variant 7"	36	16	17	185	51	38	41	38	127	193	72	238	73	1071	264	98	45	27	1	8	123.515169262788	1.97393272457992	0.743482243397254	2.65498301016615	0.0079312403031722	0.039780577439529
"39"	"ENSG00000010292"	"9918"	"NCAPD2"	"non-SMC condensin I complex subunit D2"	1882	3865	8441	4306	3373	3339	2985	1963	8703	6953	678	1880	8053	7397	13402	9088	7158	6633	7019	1224	4822.13507565083	0.877482751044978	0.323403108827571	2.71327865160636	0.00666210594086321	0.0350459770297791
"40"	"ENSG00000010610"	"920"	"CD4"	"CD4 molecule"	10	0	27	1	9	4	3	0	9	825	28	16	19	28	1	185	72	27	56	318	52.8568291170858	3.70816696663039	0.981886161770852	3.77657523958036	0.000158999544120115	0.00187251057190761
"41"	"ENSG00000010626"	"10233"	"LRRC23"	"leucine rich repeat containing 23"	312	595	294	598	589	460	495	137	224	348	14	131	518	339	159	234	249	96	335	36	264.112182981033	-0.90622111026723	0.336328259217999	-2.69445425839118	0.00705040031166168	0.0365219926869348
"42"	"ENSG00000010803"	"22955"	"SCMH1"	"Scm polycomb group protein homolog 1"	937	1545	1829	1316	1161	1093	986	881	3038	2455	1030	1749	1261	3682	2581	1944	1732	2186	3923	314	1758.71245065952	1.11656209265377	0.303204316745367	3.68254022448983	0.000230921417208714	0.00255759122007303
"43"	"ENSG00000011028"	"9902"	"MRC2"	"mannose receptor C type 2"	380	824	410	40	428	570	507	263	839	10409	16	84	3829	708	4495	915	929	515	919	489	1171.60369699282	2.1372313668478	0.704680620508481	3.03290782327123	0.00242209571767494	0.0163629864766021
"44"	"ENSG00000011405"	"5286"	"PIK3C2A"	"phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha"	790	721	1197	951	925	937	843	1093	1198	2074	91	991	1383	948	2058	1871	1915	2308	2193	75	1032.02035955503	0.74477214133271	0.25515557145584	2.91889429293378	0.0035127531907232	0.0215758730522476
"45"	"ENSG00000012124"	"933"	"CD22"	"CD22 molecule"	32	23	87	22	287	343	280	27	16	3	0	0	5	0	0	0	53	0	0	0	47.3989033098214	-4.04981375726347	1.24222267562832	-3.26013510839757	0.00111359153132956	0.00894248778082684
"46"	"ENSG00000012232"	"2137"	"EXTL3"	"exostosin like glycosyltransferase 3"	237	322	1511	1122	825	841	764	2787	1844	3875	365	580	674	1126	3185	1211	2840	972	1440	247	1222.70096349195	1.32271759568728	0.380102661600857	3.47989564218377	0.000501609128307525	0.00478389185749872
"47"	"ENSG00000012822"	"57658"	"CALCOCO1"	"calcium binding and coiled-coil domain 1"	2960	3109	1429	3401	2824	2243	2011	812	2168	2570	258	571	533	1242	755	1951	1725	2130	1269	212	1479.43091348019	-0.817956085756941	0.282423664163258	-2.89620237093203	0.00377708738523279	0.0228463263036209
"48"	"ENSG00000012983"	"11183"	"MAP4K5"	"mitogen-activated protein kinase kinase kinase kinase 5"	1237	1206	1410	963	668	638	604	1077	1520	2952	100	2477	1023	803	2566	3450	1548	2792	1341	201	1217.02399993179	0.932316926507745	0.300740908861888	3.10006686498345	0.00193476960010736	0.0137255077906453
"49"	"ENSG00000013288"	"23324"	"MAN2B2"	"mannosidase alpha class 2B member 2"	2923	1505	2773	3730	3269	3493	2980	2715	1168	2874	233	1042	1771	587	1348	824	719	437	1119	235	1574.18026008933	-1.01448234300088	0.354394691049947	-2.86257770960204	0.00420210202416068	0.0247299207615854
"50"	"ENSG00000013297"	"5010"	"CLDN11"	"claudin 11"	55	6	28	24	3	1	8	26	233	52	2	32	56	79	103	33	65	54	4	2	36.0278322280994	1.72221482060464	0.667004051956778	2.58201552981905	0.00982251647767513	0.0466778654937462
"51"	"ENSG00000013583"	"50865"	"HEBP1"	"heme binding protein 1"	915	1913	1269	1938	6739	5723	5373	717	2808	979	190	752	542	2075	669	1398	1443	788	1310	123	1588.49635865496	-1.46149420751802	0.40310110128025	-3.62562692802454	0.000288261265065345	0.00306702969528146
"52"	"ENSG00000014257"	"55"	"ACPP"	"acid phosphatase, prostate"	66	235	34	53	45	36	31	1	7	4	5	61	0	14	2	0	6	0	219	0	26.5064341890937	-2.63240719858418	0.903287060975788	-2.91425318961226	0.00356540610515651	0.021822615150511
"53"	"ENSG00000014641"	"4190"	"MDH1"	"malate dehydrogenase 1"	852	2115	2188	1772	1815	1440	1331	1225	2148	3193	298	2953	1219	2403	2551	3138	2150	4396	3244	366	1790.78232230325	0.673064158064749	0.200853573003476	3.35101909316346	0.000805147508426723	0.00693256851723824
"54"	"ENSG00000017483"	"92745"	"SLC38A5"	"solute carrier family 38 member 5"	16	2	28	1	5	6	0	15	20	26	5	3	12	30	3	183	24	3	271	2	28.5771999662383	2.64413128533476	0.886937552491071	2.98119216838706	0.00287128553774193	0.0186330442461971
"55"	"ENSG00000019102"	"23584"	"VSIG2"	"V-set and immunoglobulin domain containing 2"	2	1	0	394	0	0	0	18	48	4	0	5	1	1	0	153	2	1	3	37	15.0249104007444	4.77718991289376	1.35363545151939	3.52915543659233	0.000416888192048134	0.00412749211507981
"56"	"ENSG00000019549"	"6591"	"SNAI2"	"snail family transcriptional repressor 2"	1	0	196	4	1	0	0	205	14	3138	0	3	933	1	2378	441	190	129	49	357	390.11377675615	4.82487663150855	1.37450362336941	3.51026839760597	0.000447654589911165	0.00437920064513246
"57"	"ENSG00000020577"	"23034"	"SAMD4A"	"sterile alpha motif domain containing 4A"	187	0	224	122	0	0	0	511	36	2739	87	235	304	160	1347	1868	1046	561	414	152	444.135903112706	3.44136706255625	1.04206793431754	3.30244022412035	0.000958475143158028	0.00795021108162547
"58"	"ENSG00000021355"	"1992"	"SERPINB1"	"serpin family B member 1"	1260	1420	845	1364	1446	1470	1505	5989	531	822	114	397	227	1317	672	595	1207	347	446	40	712.384843653614	-1.02904700773824	0.304212485786913	-3.38265868699104	0.000717877904338269	0.00635215377769224
"59"	"ENSG00000021762"	"114879"	"OSBPL5"	"oxysterol binding protein like 5"	3740	1352	2944	1427	1522	1517	1339	557	435	1714	107	1328	926	1412	1247	683	1828	1853	568	138	1133.35753112449	-0.847810092704087	0.314243366596056	-2.69794109542463	0.00697697849090039	0.0362131832338897
"60"	"ENSG00000022567"	"57210"	"SLC45A4"	"solute carrier family 45 member 4"	827	566	313	839	4558	4086	3550	427	830	1674	113	821	708	683	896	447	520	1998	1445	75	1056.85425098396	-1.22516089482997	0.459845616166278	-2.66428742986418	0.00771516097361139	0.0389725591014842
"61"	"ENSG00000023171"	"57476"	"GRAMD1B"	"GRAM domain containing 1B"	3	2	0	450	0	0	0	3293	111	30	7	185	0	23	0	129	95	159	19	30	45.3329188479628	3.37011017828777	1.16439942548916	2.89429048530491	0.00380016421572856	0.0229541471409288
"62"	"ENSG00000023697"	"51071"	"DERA"	"deoxyribose-phosphate aldolase"	204	440	620	458	284	249	253	287	1759	764	119	439	635	1715	337	819	590	322	679	95	499.472834338675	1.14350861084558	0.350579680852147	3.26176522286198	0.00110720802685303	0.00890485891452758
"63"	"ENSG00000025039"	"58528"	"RRAGD"	"Ras related GTP binding D"	91	74	25	72	493	538	517	2955	3401	2255	7	3114	62	713	201	577	2016	1418	1299	64	841.056628652305	2.50870264123877	0.717626375157894	3.49583394379394	0.000472582697780504	0.00457696691827521
"64"	"ENSG00000025708"	"1890"	"TYMP"	"thymidine phosphorylase"	452	264	2620	572	564	487	486	9917	1670	6507	352	292	3749	2186	3498	884	758	15	468	275	1704.08594216263	1.95515035922862	0.715826084729959	2.73132035970188	0.00630811201058165	0.0336745071649756
"65"	"ENSG00000026559"	"3755"	"KCNG1"	"potassium voltage-gated channel modifier subfamily G member 1"	0	0	0	959	25	2	5	595	614	4632	70	956	839	703	608	301	521	63	3984	47	582.568238352202	3.99328184279784	1.07229438887403	3.7240536593603	0.00019604922779276	0.00223458630913547
"66"	"ENSG00000027001"	"4285"	"MIPEP"	"mitochondrial intermediate peptidase"	631	939	1160	1437	714	814	694	187	427	385	53	2675	208	402	662	504	459	163	852	75	483.232517187139	-0.99994211298343	0.279914019784378	-3.57231879186938	0.000353834311110143	0.00362500487401786
"67"	"ENSG00000027697"	"3459"	"IFNGR1"	"interferon gamma receptor 1"	501	456	1312	597	881	690	672	1322	982	2393	568	969	656	1822	2582	485	1663	1729	993	197	1042.78760217091	1.17987499129873	0.326214663712138	3.6168668136264	0.000298190636462563	0.00315221516424976
"68"	"ENSG00000027869"	"9047"	"SH2D2A"	"SH2 domain containing 2A"	2	48	14	16	31	67	48	263	45	127	5	55	46	174	69	75	155	51	139	18	67.0408942652504	1.79543602652459	0.516847401340963	3.47382229622577	0.000513100730266979	0.00487046429703658
"69"	"ENSG00000028137"	"7133"	"TNFRSF1B"	"TNF receptor superfamily member 1B"	10	26	6	32	15	18	17	21	101	88	2	168	9	178	1084	77	28	1	0	66	91.9908186815135	3.250451369116	0.907460813237895	3.58191926494118	0.000341079209347036	0.00351492511730637
"70"	"ENSG00000028310"	"65980"	"BRD9"	"bromodomain containing 9"	1950	1774	1781	1653	1550	1478	1363	2211	2095	2633	639	1026	3242	4164	2233	3662	4229	2955	2039	281	1997.37261759443	0.841171043923683	0.257077494966463	3.27205243708096	0.00106769771444375	0.00868564142578046
"71"	"ENSG00000029725"	"9135"	"RABEP1"	"rabaptin, RAB GTPase binding effector protein 1"	2923	2306	2326	11476	3977	3558	3330	1109	1739	2291	527	2218	762	1445	1355	729	2692	2862	817	322	2136.03296318382	-1.15826704482106	0.3575386108786	-3.23955793746243	0.00119715142369939	0.00947425781211949
"72"	"ENSG00000030066"	"23279"	"NUP160"	"nucleoporin 160"	1349	1112	1531	1305	1077	1143	1061	888	977	3399	196	1239	886	1629	5162	1968	2482	3363	1754	285	1409.21496654954	0.754608034942131	0.279565513632464	2.69921717145052	0.00695028046977673	0.0361103418939846
"73"	"ENSG00000031544"	NA	NA	NA	199	129	169	126	61	81	62	18	53	0	7	8	17	3	3	19	7	53	12	10	46.3055415307956	-2.31102157856144	0.640444847699601	-3.60846306573056	0.000308016354028301	0.00323651639306901
"74"	"ENSG00000033627"	"535"	"ATP6V0A1"	"ATPase H+ transporting V0 subunit a1"	2770	2281	2557	2433	5403	4613	3964	1706	2105	1899	262	2103	1657	1306	1444	1999	1755	2185	1933	530	2023.70155368473	-0.740815380391639	0.23322871085949	-3.17634727586325	0.00149142295820506	0.0112692451526489
"75"	"ENSG00000034152"	"5606"	"MAP2K3"	"mitogen-activated protein kinase kinase 3"	840	1139	876	1485	712	749	683	2955	1758	2916	186	1651	1677	1905	1321	1021	2222	1089	2209	157	1223.41661580082	1.0215244789788	0.262878634943847	3.88591670523931	0.000101944459342784	0.00129665244189292
"76"	"ENSG00000034510"	"9168"	"TMSB10"	"thymosin beta 10"	9023	22996	34762	17017	13482	9009	10519	53938	59011	69503	3486	78088	20986	69228	26994	23058	34505	31305	15055	1131	25540.2797430145	1.31372891936817	0.397535071406815	3.30468684113601	0.000950825755956215	0.00789655069710692
"77"	"ENSG00000035862"	"7077"	"TIMP2"	"TIMP metallopeptidase inhibitor 2"	938	65	3226	1735	1097	1273	1167	7708	5135	5946	304	3322	4649	1132	5340	4453	7807	5413	2	691	2805.16021057887	1.84262058734176	0.680010111634122	2.70969586454205	0.00673449294305546	0.0353109848895473
"78"	"ENSG00000037280"	"2324"	"FLT4"	"fms related tyrosine kinase 4"	4	0	53	2	0	0	0	48	197	1142	5	976	25	24	0	146	47	515	0	36	129.530314058114	4.98770649409157	1.28804630209325	3.87230372540636	0.00010781148671168	0.00135712502932768
"79"	"ENSG00000037757"	"84245"	"MRI1"	"methylthioribose-1-phosphate isomerase 1"	1054	810	1295	1824	1307	1657	1522	3045	1160	3110	280	1586	1211	1222	4533	3789	1495	2977	3087	122	1600.50742623963	0.819556678909835	0.309277223614634	2.64990958380763	0.00805133146302014	0.0402060682179416
"80"	"ENSG00000038427"	"1462"	"VCAN"	"versican"	23	20	913	0	0	0	4	0	340	2	168	7	2198	125	3477	13823	764	18	0	140	975.468095173989	5.35116895701955	1.53269074194249	3.49135596019692	0.000480575515067613	0.00464237717630876
"81"	"ENSG00000039139"	"1767"	"DNAH5"	"dynein axonemal heavy chain 5"	400	173	260	14	576	774	749	33	124	372	28	72	37	271	108	99	180	290	172	7	196.622205957609	-1.51935609452385	0.529473366603751	-2.86956094556671	0.00411042110263769	0.0243240104374726
"82"	"ENSG00000039319"	"9765"	"ZFYVE16"	"zinc finger FYVE-type containing 16"	1498	1098	1438	1141	1319	1118	1201	387	689	1335	273	905	472	628	691	702	514	679	566	36	742.569470916815	-0.749047800955106	0.274515364674506	-2.72861885834061	0.00636001656466752	0.033889507200637
"83"	"ENSG00000040341"	"27067"	"STAU2"	"staufen double-stranded RNA binding protein 2"	1751	2197	1340	3182	2624	2379	2375	601	1048	1570	38	1791	498	495	734	1092	2200	717	761	165	1155.38207646116	-1.15224983840101	0.330357740192369	-3.4878850961084	0.000486857257513091	0.00468408117857514
"84"	"ENSG00000041802"	"55341"	"LSG1"	"large 60S subunit nuclear export GTPase 1"	1818	1734	2828	2827	4264	4316	4028	709	1500	1611	205	1733	824	2777	1905	1559	2136	1902	999	548	1795.38135748696	-0.784917553470238	0.288938766062539	-2.71655328278223	0.00659655761545994	0.0347964433991689
"85"	"ENSG00000042062"	"140876"	"RIPOR3"	"RIPOR family member 3"	1536	693	43	43	202	186	173	246	36	38	16	57	27	28	14	9	81	98	29	23	165.183435918779	-2.48274927608746	0.711490269258796	-3.48950559601313	0.000483914926218005	0.00466775901799177
"86"	"ENSG00000043039"	"8538"	"BARX2"	"BARX homeobox 2"	1256	326	251	428	415	511	405	700	535	3030	484	954	88	3304	346	4404	2703	4827	1065	1	1146.57182785249	1.85882809523062	0.681965352591353	2.72569286425974	0.00641666763927098	0.0341082168980867
"87"	"ENSG00000043514"	"54802"	"TRIT1"	"tRNA isopentenyltransferase 1"	431	503	665	450	452	308	354	278	911	1067	193	617	380	1054	1487	725	639	590	1001	123	563.195654430331	0.910417305082024	0.242330154677179	3.75692949271971	0.000172010934781851	0.00199970336282075
"88"	"ENSG00000044459"	"54875"	"CNTLN"	"centlein"	168	258	1	2	13	22	14	502	1204	1288	9	67	332	865	802	944	329	746	0	10	304.47270522108	2.91383624043744	0.922567427442708	3.1583992169704	0.00158638150837702	0.0118299766335525
"89"	"ENSG00000044524"	"2042"	"EPHA3"	"EPH receptor A3"	2	839	198	0	402	334	324	1	1	1	1	1	0	0	0	0	0	0	2	26	92.4855448431946	-4.32503132792172	1.54894447302284	-2.79224426908036	0.00523438248833162	0.029296863481914
"90"	"ENSG00000047578"	"23247"	"KIAA0556"	"KIAA0556"	4331	1359	2432	3021	2377	2147	1803	455	1555	3021	284	1192	601	550	1328	2026	1367	1405	1079	266	1431.78426314825	-0.840498295489447	0.304061897415405	-2.76423419913469	0.00570565711967372	0.0312536067831417
"91"	"ENSG00000047662"	"27146"	"FAM184B"	"family with sequence similarity 184 member B"	685	1210	395	362	540	778	692	120	239	417	1096	427	363	402	263	368	117	289	298	1842	358.800150033641	-1.05632663698302	0.299464580389303	-3.52738422557285	0.000419687255631782	0.00415207003148048
"92"	"ENSG00000048392"	"50484"	"RRM2B"	"ribonucleotide reductase regulatory TP53 inducible subunit M2B"	524	1570	378	2898	1433	1332	1308	850	502	1603	54	557	309	246	681	626	499	294	584	87	683.162607744284	-1.1426463072229	0.366071958068367	-3.12137076342106	0.00180011239772393	0.0130059360482384
"93"	"ENSG00000049283"	"55040"	"EPN3"	"epsin 3"	3455	7601	9007	4311	5944	5802	5116	3716	2177	1427	113	2650	86	1130	179	448	2405	1903	652	1	2373.0339450874	-2.01166717214444	0.65347214221038	-3.07842835555307	0.00208095559763792	0.0145378589214519
